Country,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
North Macedonia,99.06969821,99.27110032,99.41199604,101.9367124,101.4861966,101.5868574,100.2373934,100.5602841,100.5100191,100.439662,100.2689658,100.7439347,100.6534913,100.6635506,100.3827037,100.5237189,100.9479549,100.397748,100.4078079,100.0769584,100.1272787,100.3894976,100.3693835,100.5104083,100,100.1106529,100.5230862,100.9053415,101.3580123,101.378131,100.6840358,100.8148074,100.6437984,100.3319586,100.1911277,100.171009
Norway,96.10528048,96.8209581,97.12638699,97.84205511,97.74066438,97.33635966,97.74405122,97.64265698,98.1528067,98.25441416,98.45783945,98.2552513,98.1538527,98.66400785,98.96946918,99.37717039,99.37717039,99.07357415,99.89236402,99.48794149,100.1008036,100.2024287,100.3040539,100.2026342,100,100.4060914,100.7106599,101.1167513,101.319797,101.6243655,101.4213198,101.2182741,102.0304569,102.6395939,103.0456853,102.6395939
Poland,100.4932549,100.4932549,100.7950364,101.0968179,100.9966229,100.9966229,101.1976112,100.8976183,100.9980139,101.0984095,100.8982147,100.9986109,101.0990071,101.1994034,101.4003952,101.4003952,101.3001972,101.3001972,101.0999992,100.7999992,100.6998004,100.800199,100.6,100.3,100,99.8996991,100.2006018,100.6018054,100.7021063,100.8024072,100.7021063,100.4012036,100.1003009,100.2006018,100.1003009,99.8996991
Portugal,100.2052944,100.0934013,101.8234363,101.8845915,102.1296537,102.1806115,101.9874342,101.2893752,101.8012997,101.6690373,101.3542096,101.7120266,100.3154078,100.0613161,101.4770344,101.8247336,101.8961252,101.9777237,101.3497321,101.278438,101.8112128,101.8519984,101.4863915,101.4863915,100,100.0203894,101.9573861,102.3549801,102.8953002,102.7831583,102.1001121,101.9777755,102.7423794,102.5894587,102.140891,101.8044653
Romania,98.31331377,98.713002,98.77274961,98.80261438,99.06204358,99.09190853,98.56724608,98.3388743,97.95225977,98.27177785,98.28173144,98.68145378,99.49426624,100.0044932,100.0642509,100.4038242,100.3640248,100.0465114,100.0266076,99.66954679,99.77916137,100.0186314,99.81994516,99.72050309,100,100.37826,100.8361537,101.0451921,101.70217,99.13398368,98.61636472,97.99920366,98.27792156,98.57654788,98.88512841,99.04439578
Serbia,96.67683873,97.18889826,97.18889826,98.01079169,98.21498084,99.24448798,98.23590578,98.64522206,98.64522206,98.84945647,98.34253618,98.44455126,99.57846756,99.78273108,99.68091197,100.2962262,100.7055986,100.8076306,100.7058047,100.5023586,101.1176792,100.8128018,100.7109707,100.304878,100,100.6116208,101.3251784,101.9367992,102.038736,102.7522936,101.9367992,102.7522936,102.7522936,102.54842,102.3445464,102.1406728
Slovakia,100.5558762,100.5258476,100.5458766,100.5859427,100.6962014,100.8466139,100.7665769,100.5866723,100.5566435,100.5666571,100.4067101,100.2467631,100.5077701,100.4077425,100.387721,100.387721,100.658795,100.7690565,100.6190877,100.4092564,100.4693697,100.5595667,100.389635,100.120012,100,99.80975268,100,100.2603384,100.570742,100.6808852,100.4005207,100.1902473,99.94993492,100.0300391,100.010013,99.65955742
Slovenia,99.76689533,100.4575345,100.750915,101.3291853,101.6022825,101.6325544,101.3007504,101.5941412,101.9789291,101.9184374,101.7874627,101.2456131,100.6838063,100.6535497,101.3954428,101.8718584,102.6137425,102.6844201,101.6654677,101.6049586,101.898439,101.9893386,101.8683907,101.1867957,100,100.1614857,101.0294711,101.1303997,101.8066209,101.7258781,100.9991926,101.0092854,100.8780783,100.8477998,100.9487283,100.5954784
Spain,100.9966483,101.0883431,103.0072168,103.0785444,103.1804712,103.2926017,102.1347257,102.3899605,103.1905235,103.2108968,103.2210824,103.2414556,101.3616112,101.2293385,102.8650754,103.5111226,103.4805583,103.4296278,101.8638809,101.9557053,103.006158,103.0877794,102.8436884,102.1752145,100,100.1427989,102.1521828,102.8457772,103.2945736,103.4883721,101.8971848,101.4891881,101.8971848,102.2133823,102.4785802,102.0909833
Sweden,99.43985776,99.99993889,100.5190754,100.2866964,100.4896443,100.3480668,100.2165888,100.3484127,100.7857715,100.5634648,100.4825121,100.7974406,99.6164161,100.1561493,100.1966819,100.593279,100.6642335,100.8875709,100.634973,100.6045942,100.8482872,100.9091002,100.82813,101.0921844,100,100.8408469,100.9624152,101.1245061,101.5702563,101.3068585,101.4385574,101.2663357,101.7627393,101.8640462,101.6918245,101.8539155
Switzerland,99.89666753,100.1966575,100.5970438,100.5970438,100.5970438,100.6968424,100.7966411,100.3994129,100.900408,100.7013934,100.4031662,100.6029735,100.0082761,100.0082761,100.5093196,100.7091393,100.8089501,100.6099196,100.709731,100.4114791,100.9125344,100.8129169,100.5146538,100.6144698,100,99.64100519,100.1096929,99.84044675,99.92022337,100.0398883,99.85041883,99.31192661,99.65097726,99.70083765,99.35181492,99.23214998
Turkey,86.34183306,86.68586596,87.30288443,87.469354,87.54210655,88.14858555,88.40897958,88.35708419,89.09007731,90.80497661,90.74268186,91.19164462,93.19854038,93.65816107,94.79443173,95.78187373,95.92766044,96.38734429,96.87852993,97.17055263,97.20175705,99.11016851,99.19345436,98.79974732,100,100.8739076,102.0911361,103.4436122,103.9533916,103.7765293,103.7973367,104.0990429,104.9417395,106.741573,107.2409488,107.480233
United Kingdom,97.75479209,98.4646298,98.76759789,98.9693703,99.17114272,98.97018802,98.97018802,99.3745606,99.77893318,99.77893318,99.87971998,100.2840913,99.68358777,100.1895958,100.3913876,100.7957839,100.6951893,100.8969833,100.5957982,100.8987976,100.9995956,101.1003936,100.7992008,100.7992008,100,100.2014099,100.4028197,100.6042296,100.8056395,100.9063444,100.7049345,101.0070493,100.9063444,101.0070493,101.0070493,101.0070493
