Country,Good type,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Belgium,Chocolate,100,100.3676084,100.0840248,101.4389245,101.3969121,101.7855267,102.2476631,101.9325701,101.7855267,101.6069741,101.8695515,102.4052095,104.694885,104.4743199,105.6086546,106.1023002,104.8419284,104.904947,105.2410461,105.1885306,104.5268354,104.8524315,104.9469594,104.9889717
Belgium,Confectionery products,100,100.4907853,100.5308494,101.3922276,102.4639423,102.3137019,102.1734776,102.0633013,101.3020833,101.2419872,101.1418269,100.7512019,101.2119391,101.3020833,100.9415064,100.6610577,100.8112981,99.89983974,100.2804487,99.94991987,99.46915064,99.43910256,98.7880609,99.15865385
Belgium,Edible ices and ice cream,100,99.73067332,99.77057357,99.74064838,100.3391521,100.3591022,99.93017456,99.95012469,99.83042394,99.62094763,99.13216958,99.01246883,98.66334165,98.6234414,99.0723192,99.83042394,100.0598504,99.63092269,99.87032419,99.9201995,99.87032419,100.3491272,100.5586035,100.5586035
Belgium,Artificial sugar substitutes ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Belgium,Food products n.e.c.,100,99.77068794,100.0598205,100.1794616,100.2093719,100.1794616,99.9002991,99.57128614,99.35194417,98.92323031,98.65403789,98.5443669,98.59421735,98.27517448,98.66400798,99.89032901,100.0099701,99.94017946,100.3888335,100.0897308,100.1196411,100.0598205,100.0697906,100.2991027
Belgium,"Sauces, condiments",100,98.96749522,98.84321224,98.47036329,98.90057361,98.38432122,98.01147228,97.18929254,97.33269598,97.1414914,96.3957935,96.03250478,96.73996176,95.79349904,95.60229446,95.82217973,96.01338432,95.43977055,95.61185468,95.21032505,95.51625239,95.4875717,95.04780115,94.94263862
Belgium,"Salt, spices and culinary herbs",100,100.2546862,101.1308068,101.0696822,101.2428688,101.3753056,101.4568052,101.405868,101.293806,101.293806,101.3854931,101.8846781,101.9661777,102.0578647,101.9559902,102.3227384,102.7607987,102.1801141,101.2632437,101.202119,101.2734311,101.4873676,101.8744906,102.1495518
Belgium,Baby food ,100,100.4649322,101.1573845,101.7904837,101.582748,101.5530715,101.3057671,100.5836383,99.24819468,98.71401721,98.28865367,98.57552676,97.88307449,98.37768325,98.80304679,98.54585023,98.72390939,99.22841033,99.67355822,99.53506776,99.25808685,99.1195964,98.79315461,99.1195964
Belgium,Ready-made meals ,100,100.0204729,100.3685126,100.4811137,101.0031733,101.3921589,101.5866517,101.750435,101.8323267,101.8527997,101.8732726,102.0677654,102.3543863,102.2110759,102.2213123,102.3850957,102.1189477,102.2213123,102.4772239,102.5591156,102.5488791,102.0165831,102.6000614,102.6717167
Belgium,Other food products n.e.c.,100,99.64370546,99.88123515,100.3266033,99.27751386,99.02019002,97.95130641,97.39707047,96.74386382,95.28899446,94.9722882,94.19041964,93.57680127,93.10174188,94.804038,99.47545527,99.98020586,100.1088678,101.7022961,100.7620744,100.6730008,101.2173397,100.7521774,101.5043547
Belgium,Non-alcoholic beverages,100,99.95874162,99.70087674,100.4125838,100.330067,100.1650335,100.7839092,100.5673027,100.9489428,100.9386282,101.1346055,101.1758638,101.732852,102.0113461,102.1970088,102.9396596,103.1872099,103.5585353,103.5997937,103.362558,103.6101083,103.6204229,103.9917483,103.9608045
Belgium,"Coffee, tea and cocoa",100,99.9344334,99.23505628,100.1639165,99.74866135,100.0218555,102.4696754,103.0269916,103.147197,102.3057589,102.8849306,102.5789531,103.0051361,105.7917168,106.5129494,108.9826248,109.1574691,111.5506502,111.1244673,111.8238444,111.2446727,110.5343678,111.2228172,110.3813791
